customer_id,txn_date,txn_type,category,amount
100000,2025-11-02,debit,salary,5131
100000,2025-12-30,debit,shopping,5837
100000,2025-11-26,debit,shopping,2557
100000,2025-04-19,credit,shopping,3496
100000,2025-09-09,debit,groceries,1098
100000,2025-02-12,debit,medical,5883
100000,2025-07-27,debit,salary,4704
100000,2025-05-28,debit,salary,674
100000,2025-10-23,credit,medical,6158
100000,2025-02-05,credit,emi,3640
100000,2025-09-29,credit,groceries,6500
100000,2025-08-31,credit,shopping,5595
100000,2025-05-23,debit,groceries,952
100000,2025-12-09,credit,shopping,5019
100000,2025-08-03,debit,groceries,4444
100000,2025-11-23,credit,groceries,3781
100000,2025-11-20,credit,rent,8078
100000,2025-04-10,credit,shopping,9092
100000,2025-03-04,debit,emi,2707
100000,2025-09-22,debit,emi,2792
100000,2025-10-20,credit,groceries,8858
100000,2025-05-20,debit,rent,4040
100000,2025-06-02,debit,rent,2202
100000,2025-10-27,credit,groceries,2646
100000,2025-09-14,credit,groceries,8878
100000,2025-07-01,debit,fuel,4746
100000,2025-03-05,debit,fuel,2861
100000,2025-04-17,debit,emi,4792
100000,2025-04-27,debit,medical,5480
100000,2025-04-04,debit,emi,2799
100000,2025-07-27,debit,medical,4934
100000,2025-11-11,debit,groceries,5435
100000,2025-09-01,debit,groceries,2586
100000,2025-09-27,debit,rent,5672
100000,2025-10-09,debit,fuel,6001
100000,2025-10-29,debit,shopping,4218
100000,2025-05-08,debit,rent,5104
100000,2025-04-12,debit,groceries,5593
100000,2025-10-10,credit,rent,7689
100000,2025-06-13,debit,fuel,6109
100000,2025-05-28,debit,fuel,5970
100000,2025-01-21,debit,rent,2106
100000,2025-11-04,debit,rent,2032
100000,2025-08-13,debit,groceries,1089
100000,2025-01-28,debit,salary,3819
100000,2025-05-22,credit,salary,7702
100000,2025-08-17,debit,medical,4202
100001,2025-01-18,debit,shopping,2086
100001,2025-09-19,debit,emi,7271
100001,2025-12-13,debit,shopping,4728
100001,2025-02-24,debit,shopping,4668
100001,2025-09-02,debit,salary,5235
100001,2025-12-04,credit,shopping,13229
100001,2025-03-14,debit,emi,8086
100001,2025-03-09,debit,salary,2805
100001,2025-07-16,debit,fuel,7530
100001,2025-03-20,credit,salary,11275
100001,2025-02-20,debit,fuel,8152
100001,2025-02-10,debit,salary,5198
100001,2025-04-09,debit,medical,3933
100001,2025-06-26,debit,rent,7290
100001,2025-09-12,credit,salary,9383
100001,2025-04-11,debit,travel,3633
100001,2025-03-14,debit,salary,3962
100001,2025-01-14,debit,salary,5936
100001,2025-07-06,debit,emi,3872
100001,2025-01-26,debit,rent,6996
100001,2025-06-09,credit,rent,10748
100001,2025-10-02,debit,groceries,2010
100001,2025-01-15,debit,fuel,2420
100001,2025-04-23,credit,rent,9989
