customer_id,debt_to_income,credit_utilization_clean,missed_emi_months,monthly_spend_stability,rolling_6m_delinquency,balance_volatility,num_past_defaults,enquiry_rate
100000,0.0,0.42,0.0,0.0,0.0,0.2940943355543047,0,0.0
100001,1.0369311691561232,0.92,0.0,1.1478627108425585,0.0,0.12128439335270418,0,1.5
100002,0.0,0.82,9.0,0.08189432193790137,2.0,1.1805722551470974,1,1.3333333333333333
100003,1.2466578422643733,0.75,5.0,0.6151750703303864,5.0,0.13792004834006685,2,0.6666666666666666
100004,0.1904598981420495,0.49,7.0,0.311946799704786,1.0,2.240076051281429,2,0.8333333333333334
100005,0.5997511623687777,0.99,4.0,0.28974549704855057,4.0,0.2200707155551413,2,1.1666666666666667
100006,0.9604546184063113,0.33,0.0,0.0,3.0,0.4813210110428362,0,1.0
100007,0.5512891858887993,0.38,0.0,1.2014111024721799,3.0,0.8399033282298948,1,0.8333333333333334
100008,0.09794092101286436,0.53,6.0,0.6725208293241337,6.0,0.3825471148353863,2,0.8333333333333334
100009,0.0,0.85,6.0,0.4138754781065906,2.0,0.5785008282985672,3,1.1666666666666667
100010,1.1641212632319773,0.26,5.0,0.5250469532889183,4.0,0.340158565188423,1,1.8333333333333333
100011,0.5766945483037335,0.63,0.0,0.7812663931492138,4.0,0.39752111210657853,1,1.1666666666666667
100012,1.0211304308348845,0.16,4.0,0.4812685630860498,0.0,2.819056770859518,2,1.5
100013,0.5624010678762964,0.32,0.0,0.0,4.0,0.1760616004453924,1,0.8333333333333334
100014,0.37984417638153645,0.58,2.0,0.39326409750773567,2.0,0.1267336767007275,2,0.0
100015,1.6944411675380449,0.05,3.0,0.6322934357367763,4.0,1.357478170809407,3,1.0
100016,3.4877644397604297,0.56,0.0,0.0,2.0,0.04837590672828564,1,0.3333333333333333
100017,0.44349894165454046,0.36,0.0,0.0,3.0,0.4844248223288627,1,1.3333333333333333
100018,0.0,0.45,6.0,0.22931111580965186,5.0,0.364032908399702,2,1.1666666666666667
100019,0.05132831537553991,0.38,0.0,0.0,3.0,0.08608161271382449,1,1.6666666666666667
100020,0.18428047714144227,0.75,0.0,0.0,5.0,0.38341593934558216,2,1.3333333333333333
100021,0.5572008945159481,0.17,0.0,0.0,5.0,0.19594946856251638,2,1.3333333333333333
100022,0.7805415548643642,0.11,5.0,0.23287093387616287,2.0,3.736019934835195,3,0.16666666666666666
100023,0.7697520188941859,0.15,0.0,0.240770292490506,0.0,1.2708172434964249,1,1.6666666666666667
100024,0.0,0.91,7.0,0.8272076605091928,1.0,0.8505624437247978,3,0.8333333333333334
100025,0.19156761039950893,0.34,2.0,0.6517106345343328,2.0,0.18301660706198417,2,1.8333333333333333
100026,1.3845776614172605,0.18,5.0,0.7958471738552492,6.0,0.599598832301524,2,0.6666666666666666
100027,0.22579443952201922,0.81,0.0,0.0,2.0,0.26977719482657725,1,2.0
100028,0.3568956455555968,0.58,0.0,0.0,0.0,0.2660872428639512,1,0.0
100029,0.9352931936111561,0.15,0.0,1.3900229170552423,5.0,0.6168768149185219,1,2.0
100030,0.14241706270581334,0.13,0.0,0.0,6.0,1.5276798539751386,0,1.3333333333333333
100031,0.5035854774049049,0.62,3.0,0.5917635090093813,6.0,1.5513003179499147,1,0.8333333333333334
